[2025-06-27 12:57:45]  KeyloggerHunterAI initialized.
[2025-06-27 12:57:55]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:57:55]  API module detected: explorer.exe is using input.dll from C:\Windows\System32\Windows.Gaming.Input.dll
[2025-06-27 12:57:55]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:57:55]  API module detected: explorer.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:55]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:57:55]  API module detected: RuntimeBroker.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:55]  Suspicious process detected: imsctadn.exe (C:\Program Files (x86)\IObit\Driver Booster\10.5.0\Pub\imsctadn.exe)
[2025-06-27 12:57:56]  API module detected: Widgets.exe is using input.dll from C:\Windows\System32\ninput.dll
[2025-06-27 12:57:56]  Suspicious process detected: msedgewebview2.exe (C:\Program Files (x86)\Microsoft\EdgeWebView\Application\137.0.3296.93\msedgewebview2.exe)
[2025-06-27 12:57:56]  API module detected: Widgets.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:56]  Suspicious process detected: vmms.exe (C:\Windows\System32\vmms.exe)
[2025-06-27 12:57:56]  API module detected: SearchHost.exe is using input.dll from C:\Windows\System32\Windows.UI.Core.TextInput.dll
[2025-06-27 12:57:56]  Suspicious process detected: msedge.exe (C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe)
[2025-06-27 12:57:56]  API module detected: SearchHost.exe is using input.dll from C:\Windows\System32\ninput.dll
[2025-06-27 12:57:56]  Suspicious process detected: smartaudio3.exe (C:\Program Files\CONEXANT\SA3\HP-NB-AIO\SmartAudio3.exe)
[2025-06-27 12:57:56]  API module detected: SearchHost.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:56]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:57:56]  API module detected: StartMenuExperienceHost.exe is using input.dll from C:\Windows\System32\Windows.UI.Core.TextInput.dll
[2025-06-27 12:57:56]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:57:56]  API module detected: StartMenuExperienceHost.exe is using input.dll from C:\Windows\System32\ninput.dll
[2025-06-27 12:57:57]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:57:57]  API module detected: StartMenuExperienceHost.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:57]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:57:57]  API module detected: WidgetService.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:57]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:57:57]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:57:57]  API module detected: msedgewebview2.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:57]  API module detected: msedgewebview2.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:57]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:57:57]  API module detected: msedgewebview2.exe is using user32.dll from C:\Windows\System32\en-US\user32.dll.mui
[2025-06-27 12:57:57]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:57:57]  API module detected: msedgewebview2.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:57]  Suspicious process detected: igfxcuiservice.exe (C:\Windows\System32\DriverStore\FileRepository\cui_dch.inf_amd64_cbb03399d84fb105\igfxCUIService.exe)
[2025-06-27 12:57:57]  API module detected: AdobeCollabSync.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:58]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:57:58]  API module detected: DCSHelper.exe is using user32.dll from C:\Windows\SysWOW64\user32.dll
[2025-06-27 12:57:58]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:57:58]  API module detected: msedgewebview2.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:58]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:57:58]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:57:58]  API module detected: msedgewebview2.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:58]  API module detected: RuntimeBroker.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:58]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:57:58]  API module detected: svchost.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:58]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:57:58]  API module detected: svchost.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:59]  API module detected: msedgewebview2.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:59]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:57:59]  Suspicious process detected: rssyncsvc.exe (C:\Program Files\ReasonLabs\Common\rsSyncSvc.exe)
[2025-06-27 12:57:59]  API module detected: igfxEM.exe is using user32.dll from C:\Windows\System32\en-US\user32.dll.mui
[2025-06-27 12:57:59]  Suspicious process detected: hotkeyserviceuwp.exe (C:\Windows\System32\DriverStore\FileRepository\hpqkbsoftwarecompnent.inf_amd64_a22c6a91e05f8cee\HotKeyServiceUWP.exe)
[2025-06-27 12:57:59]  API module detected: igfxEM.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:59]  Suspicious process detected: msedgewebview2.exe (C:\Program Files (x86)\Microsoft\EdgeWebView\Application\137.0.3296.93\msedgewebview2.exe)
[2025-06-27 12:57:59]  API module detected: sihost.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:59]  Suspicious process detected: msedgewebview2.exe (C:\Program Files (x86)\Microsoft\EdgeWebView\Application\137.0.3296.93\msedgewebview2.exe)
[2025-06-27 12:57:59]  API module detected: svchost.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:59]  API module detected: svchost.exe is using user32.dll from C:\Windows\System32\user32.dll
ository\hpqkbsoftwarecompnent.inf_amd64_a22c6a91e05f8cee\HPAudioAnalytics.exe)
[2025-06-27 12:57:59]  API module detected: svchost.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:57:59]  Suspicious process detected: crossdeviceresume.exe (C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe)
[2025-06-27 12:58:00]  API module detected: msedgewebview2.exe is using user32.dll from C:\Windows\System32\en-US\user32.dll.mui
[2025-06-27 12:58:00]  Suspicious process detected: msmpeng.exe (C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.25050.5-0\MsMpEng.exe)
[2025-06-27 12:58:00]  API module detected: msedgewebview2.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:58:00]  Suspicious process detected: mpdefendercoreservice.exe (C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.25050.5-0\MpDefenderCoreService.exe)
[2025-06-27 12:58:00]  API module detected: zWebview2Agent.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:58:00]  Suspicious process detected: flow.exe (C:\Program Files\CONEXANT\Flow\Flow.exe)
[2025-06-27 12:58:00]  Suspicious process detected: adobecollabsync.exe (C:\Program Files\Adobe\Acrobat DC\Acrobat\AdobeCollabSync.exe)
[2025-06-27 12:58:00]  API module detected: msedge.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:58:00]  API module detected: msedgewebview2.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:58:00]  API module detected: msedge.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:58:00]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:58:01]  API module detected: msedge.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:58:01]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:58:01]  API module detected: RuntimeBroker.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:58:01]  Suspicious process detected: syntpenh.exe (C:\Program Files\Synaptics\SynTP\SynTPEnh.exe)
[2025-06-27 12:58:01]  API module detected: ApplicationFrameHost.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:58:01]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:58:01]  API module detected: Code.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:58:01]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:58:01]  API module detected: SystemSettings.exe is using input.dll from C:\Windows\System32\Windows.UI.Core.TextInput.dll
[2025-06-27 12:58:01]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:58:01]  API module detected: SystemSettings.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:58:01]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:58:01]  API module detected: Code.exe is using user32.dll from C:\Windows\System32\en-US\user32.dll.mui
[2025-06-27 12:58:02]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:58:02]  API module detected: Code.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:58:02]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:58:02]  API module detected: powershell.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:58:02]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:58:02]  API module detected: RuntimeBroker.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:58:02]  Suspicious process detected: msedgewebview2.exe (C:\Program Files (x86)\Microsoft\EdgeWebView\Application\137.0.3296.93\msedgewebview2.exe)
[2025-06-27 12:58:02]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:58:02]  API module detected: WindowsPackageManagerServer.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:58:02]  Suspicious process detected: ibtsiva.exe (C:\Windows\System32\ibtsiva.exe)
[2025-06-27 12:58:02]  API module detected: Zoom.exe is using user32.dll from C:\Windows\System32\en-US\user32.dll.mui
[2025-06-27 12:58:03]  API module detected: Zoom.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:58:03]  Suspicious process detected: spoolsv.exe (C:\Windows\System32\spoolsv.exe)
[2025-06-27 12:58:03]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:58:03]  API module detected: ShellExperienceHost.exe is using input.dll from C:\Windows\System32\Windows.UI.Core.TextInput.dll
[2025-06-27 12:58:03]  Suspicious process detected: textinputhost.exe (C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe)
[2025-06-27 12:58:03]  API module detected: ShellExperienceHost.exe is using input.dll from C:\Windows\System32\ninput.dll
[2025-06-27 12:58:03]  Suspicious process detected: cxaudiosvc.exe (C:\Windows\CxSvc\CxAudioSvc.exe)
[2025-06-27 12:58:03]  API module detected: ShellExperienceHost.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:58:03]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:58:03]  API module detected: msedge.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:58:03]  API module detected: Code.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:58:03]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:58:03]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:58:03]  API module detected: WhatsApp.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:58:04]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:58:04]  API module detected: Code.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:58:04]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:58:04]  API module detected: RuntimeBroker.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:58:04]  Suspicious process detected: appvshnotify.exe (C:\Program Files\Common Files\microsoft shared\ClickToRun\AppVShNotify.exe)
[2025-06-27 12:58:04]  API module detected: Code.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:58:04]  Suspicious process detected: dllhost.exe (C:\Windows\System32\dllhost.exe)
[2025-06-27 12:58:04]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:58:04]  API module detected: SnippingTool.exe is using input.dll from C:\Windows\System32\Windows.UI.Core.TextInput.dll
[2025-06-27 12:58:04]  API module detected: SnippingTool.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:58:04]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:58:04]  Suspicious process detected: nessus-service.exe (C:\Program Files\Tenable\Nessus\nessus-service.exe)
[2025-06-27 12:58:04]  API module detected: powershell.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:58:05]  Suspicious process detected: ctfmon.exe (C:\Windows\System32\ctfmon.exe)
[2025-06-27 12:58:05]  API module detected: msedgewebview2.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:58:05]  Suspicious process detected: syntpenhservice.exe (C:\Program Files\Synaptics\SynTP\SynTPEnhService.exe)
[2025-06-27 12:58:05]  Suspicious process detected: cxutilsvc.exe (C:\Windows\CxSvc\CxUtilSvc.exe)
[2025-06-27 12:58:05]  API module detected: powershell.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:58:05]  API module detected: Code.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:58:05]  Suspicious process detected: okta.coordinator.service.exe (C:\Program Files\Okta\UpdateService\Okta.Coordinator.Service.exe)
[2025-06-27 12:58:05]  API module detected: Code.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:58:05]  Suspicious process detected: hwdeviceservice64.exe (C:\ProgramData\DatacardService\HWDeviceService64.exe)
[2025-06-27 12:58:05]  API module detected: conhost.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:58:05]  Suspicious process detected: armsvc.exe (C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe)
[2025-06-27 12:58:05]  Suspicious process detected: rsclientsvc.exe (C:\Program Files\ReasonLabs\EPP\rsClientSvc.exe)
[2025-06-27 12:58:06]  API module detected: ShellHost.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:58:06]  Suspicious process detected: rswsc.exe (C:\Program Files\ReasonLabs\EPP\rsWSC.exe)
[2025-06-27 12:58:06]  API module detected: Code.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:58:06]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:58:06]  API module detected: conhost.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:58:06]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:58:06]  API module detected: conhost.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:58:06]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
[2025-06-27 12:58:06]  API module detected: Code.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:58:07]  Suspicious process detected: oktaverify.exe (C:\Program Files\Okta\Okta Verify\OktaVerify.exe)
[2025-06-27 12:58:07]  Suspicious process detected: svchost.exe (C:\Windows\System32\svchost.exe)
n-US\user32.dll.mui
[2025-06-27 12:58:07]  Suspicious process detected: teamviewer_service.exe (C:\Program Files\TeamViewer\TeamViewer_Service.exe)
[2025-06-27 12:58:07]  API module detected: Zoom.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:58:07]  API module detected: Code.exe is using user32.dll from C:\Windows\System32\user32.dll
[2025-06-27 12:58:07]  Suspicious process detected: rsedrsvc.exe (C:\Program Files\ReasonLabs\EDR\rsEDRSvc.exe)
[2025-06-27 12:58:07]  API module detected: conhost.exe is using user32.dll from C:\Windows\System32\user32.dll
